Timestamp,Rcvr Temp,PCB Temp,Ext Temp,Power Temp,Hot Cal Tgt Temp,Cold Cal Tgt Temp,Ac,Ah,Bc,Bh,Tc,Th,Num measurements (m),Num frames (f)
2014-11-04 16:47:15.798,294.2,294.1,292.2,294.8,321.4,294.3,-8836,-9363,-8829,-9366,294.3,321.4,5,5,
2014-11-04 16:48:15.983,295.7,294.4,292.2,295.4,322.0,294.1,-8455,-9002,-8451,-8996,294.1,322.0,5,5,
2014-11-04 16:49:15.778,297.1,295.2,292.2,296.0,326.4,294.4,-8305,-8940,-8302,-8920,294.4,326.4,5,5,
2014-11-04 16:50:15.791,298.2,295.9,292.2,296.9,331.6,294.3,-8002,-8743,-7995,-8716,294.3,331.6,5,5,
2014-11-04 16:51:16.054,299.3,296.5,292.2,297.6,337.6,294.3,-7573,-8425,-7574,-8401,294.3,337.6,5,5,
2014-11-04 16:52:16.036,300.2,297.1,292.2,298.5,342.3,294.4,-7032,-7970,-7029,-7949,294.4,342.3,5,5,
2014-11-04 16:53:16.049,301.1,297.6,292.2,299.1,346.0,294.3,-6612,-7633,-6610,-7608,294.3,346.0,5,5,
2014-11-04 16:54:15.860,301.9,298.1,292.2,299.8,348.8,294.5,-6497,-7524,-6494,-7511,294.5,348.8,5,5,
2014-11-04 16:55:16.092,302.6,298.3,292.2,300.4,350.9,294.5,-6397,-7434,-6397,-7417,294.5,350.9,5,5,
2014-11-04 16:56:15.902,303.2,298.6,292.2,301.0,352.4,294.5,-6255,-7299,-6253,-7290,294.5,352.4,5,5,
2014-11-04 16:57:15.931,303.8,298.8,292.2,301.6,353.7,294.8,-6045,-7093,-6043,-7085,294.8,353.7,5,5,
2014-11-04 16:58:16.147,304.4,299.0,292.2,302.0,354.2,294.9,-5813,-6860,-5810,-6854,294.9,354.2,5,5,
2014-11-04 16:59:15.958,305.0,299.2,292.2,302.4,355.3,294.8,-5591,-6641,-5589,-6635,294.8,355.3,5,5,
2014-11-04 17:00:16.174,305.4,299.4,292.2,302.8,356.0,294.9,-5363,-6419,-5364,-6406,294.9,356.0,5,5,
2014-11-04 17:01:16.249,305.9,299.6,292.2,303.1,356.5,294.9,-5146,-6199,-5142,-6190,294.9,356.5,5,5,
2014-11-04 17:02:16.013,306.4,299.8,292.2,303.5,356.7,295.0,-4927,-5979,-4923,-5970,295.0,356.7,5,5,
2014-11-04 17:03:16.214,306.8,299.9,292.2,303.8,357.0,295.2,-4706,-5760,-4707,-5753,295.2,357.0,5,5,
2014-11-04 17:04:16.289,307.2,300.0,292.3,304.1,357.2,295.4,-4508,-5556,-4504,-5552,295.4,357.2,5,5,
2014-11-04 17:05:16.053,307.6,300.1,292.2,304.2,357.3,295.4,-4310,-5354,-4304,-5343,295.4,357.3,5,5,
2014-11-04 17:06:16.332,307.9,300.2,292.2,304.4,357.1,295.3,-4111,-5154,-4109,-5145,295.3,357.1,5,5,
2014-11-04 17:07:16.345,308.2,300.3,292.2,304.6,357.3,295.5,-3932,-4968,-3929,-4961,295.5,357.3,5,5,
2014-11-04 17:08:16.140,308.6,300.3,292.2,304.9,357.6,295.5,-3771,-4802,-3766,-4798,295.5,357.6,5,5,
2014-11-04 17:09:16.200,308.9,300.4,292.2,304.9,357.8,295.5,-3597,-4626,-3592,-4620,295.5,357.8,5,5,
2014-11-04 17:10:16.213,309.2,300.4,292.1,305.2,357.6,295.7,-3444,-4466,-3442,-4464,295.7,357.6,5,5,
2014-11-04 17:11:16.195,309.4,300.5,292.1,305.2,357.6,295.7,-3296,-4317,-3293,-4310,295.7,357.6,5,5,
2014-11-04 17:12:16.443,309.8,300.5,292.2,305.2,357.3,295.9,-3151,-4166,-3148,-4161,295.9,357.3,5,5,
2014-11-04 17:13:16.503,310.0,300.6,292.2,305.5,357.9,295.8,-3007,-4017,-3000,-4010,295.8,357.9,5,5,
2014-11-04 17:14:16.500,310.2,300.7,292.2,305.6,357.7,296.0,-2872,-3879,-2869,-3873,296.0,357.7,5,5,
2014-11-04 17:15:16.280,310.4,300.7,292.2,305.8,357.9,296.0,-2749,-3750,-2745,-3749,296.0,357.9,5,5,
2014-11-04 17:16:16.262,310.7,300.7,292.2,305.9,357.9,296.0,-2618,-3622,-2617,-3613,296.0,357.9,5,5,
